,manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,price_usd,is_exchangeable,location_region,number_of_photos,up_counter,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed
0,0,0,1,0,190000,2010,0,0,0,2.5,0,0,0,0,10900.0,0,0,9,13,0,1,1,1,0,1,0,1,1,1,16
1,0,0,1,1,290000,2002,0,0,0,3.0,0,0,0,0,5000.0,1,0,12,54,0,1,0,0,1,1,0,0,0,1,83
2,0,1,1,2,402000,2001,0,0,0,2.5,1,0,0,0,2800.0,1,0,4,72,0,1,0,0,0,0,0,0,1,1,151
3,0,2,0,1,10000,1999,0,0,0,3.0,2,0,0,0,9999.0,1,0,9,42,1,0,0,0,0,0,0,0,0,0,86
4,0,3,1,3,280000,2001,0,0,0,2.5,0,0,0,0,2134.11,1,1,14,7,0,1,0,1,1,0,0,0,0,1,7
5,0,0,1,0,132449,2011,0,0,0,2.5,0,0,0,0,14700.0,1,0,20,56,0,1,0,0,0,1,0,1,1,1,67
6,0,1,1,3,318280,1998,0,0,0,2.5,0,0,0,0,3000.0,1,0,8,147,0,1,0,0,1,1,0,0,1,1,307
7,0,3,1,0,350000,2004,0,0,0,2.5,2,0,0,0,4500.0,0,2,7,29,0,1,1,0,0,0,0,0,0,1,73
8,0,0,1,4,179000,2010,0,0,0,2.5,0,0,0,0,12900.0,0,0,17,33,0,1,1,1,1,1,1,1,1,1,87
9,0,1,1,0,571317,1999,0,0,0,2.5,0,0,0,0,4200.0,1,0,8,11,0,1,1,0,0,1,0,0,0,1,43
10,0,1,0,5,280000,2003,0,0,0,2.0,1,0,0,0,6900.0,1,0,14,6,0,1,0,1,0,1,0,1,1,1,11
11,0,4,1,4,256000,2008,0,0,0,3.6,1,0,0,0,8350.0,1,0,18,61,0,1,1,1,1,1,0,0,1,1,80
12,0,1,0,5,321000,2002,0,0,0,2.0,1,0,0,0,4300.0,0,0,13,2,0,1,0,0,0,0,0,0,0,0,2
